Net Status Report
Filename     : C:\Users\Kyle\gatorsynth_sequencer\Altium\Top Board\GatorSynth_Step_Sequencer\Gatorsynth_Sequencer.PcbDoc
Date         : 11/6/2017
Time         : 2:31:26 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NE_SW2, Signal Layers Only, 210.4085mm
    NE_SW3, Signal Layers Only, 183.3048mm
    NE_SW4, Signal Layers Only, 138.96mm
    NE_SW5, Signal Layers Only, 119.7203mm
    NE_SW6, Signal Layers Only, 98.0256mm
    NE_SW7, Signal Layers Only, 76.2162mm
    NE_SW8, Signal Layers Only, 7.8687mm
    NE_SW9, Signal Layers Only, 7.8687mm
    NOTE_LEN, Signal Layers Only, 76.6899mm
    NetC25_CC1_1, Signal Layers Only, 0mm
    NetC25_CC2_1, Signal Layers Only, 0mm
    NetC26_2, Signal Layers Only, 0mm
    NetC27_1, Signal Layers Only, 0mm
    NetC27_2, Signal Layers Only, 0mm
    NetC3_1, Signal Layers Only, 0mm
    NetDRV1_1, Signal Layers Only, 1.8628mm
    NetDRV2_1, Signal Layers Only, 1.8554mm
    NetDRV3_1, Signal Layers Only, 1.848mm
    NetDRV4_1, Signal Layers Only, 1.4587mm
    NetJ1_2, Signal Layers Only, 0mm
    NetJ2_1, Signal Layers Only, 0mm
    NetJ4_10, Signal Layers Only, 0mm
    NetJ4_2, Signal Layers Only, 0mm
    NetJ4_4, Signal Layers Only, 0mm
    NetJ4_6, Signal Layers Only, 0mm
    NetJ4_8, Signal Layers Only, 0mm
    NetP5_1, Signal Layers Only, 0mm
    NetP6_1, Signal Layers Only, 0mm
    NetP6_2, Signal Layers Only, 0mm
    NetP7_1, Signal Layers Only, 0mm
    NetP7_2, Signal Layers Only, 0mm
    NetP7_3, Signal Layers Only, 0mm
    NetP9_RIB3_14, Signal Layers Only, 0mm
    NetP9_RIB3_15, Signal Layers Only, 0mm
    NetP9_RIB3_16, Signal Layers Only, 0mm
    NetR13_CC1_1, Signal Layers Only, 0mm
    NetR13_CC2_1, Signal Layers Only, 0mm
    NetR19_GC0_1, Signal Layers Only, 0mm
    NetR19_GC1_1, Signal Layers Only, 0mm
    NetR21_GC0_2, Signal Layers Only, 0mm
    NetR21_GC1_2, Signal Layers Only, 0mm
    NetR26_1, Signal Layers Only, 0mm
    NetR27_1, Signal Layers Only, 0mm
    NetR29_2, Signal Layers Only, 0mm
    NetR2_A1_1, Signal Layers Only, 5.606mm
    NetR2_A2_1, Signal Layers Only, 5.246mm
    NetR2_A3_1, Signal Layers Only, 5.246mm
    NetR2_A4_1, Signal Layers Only, 5.246mm
    NetR2_A5_1, Signal Layers Only, 5.2461mm
    NetR2_A6_1, Signal Layers Only, 5.2461mm
    NetR2_A7_1, Signal Layers Only, 5.2461mm
    NetR2_A8_1, Signal Layers Only, 5.2461mm
    NetR2_N10_1, Signal Layers Only, 5.2461mm
    NetR2_N11_1, Signal Layers Only, 5.2461mm
    NetR2_N12_1, Signal Layers Only, 5.2461mm
    NetR2_N13_1, Signal Layers Only, 5.2461mm
    NetR2_N14_1, Signal Layers Only, 5.2461mm
    NetR2_N15_1, Signal Layers Only, 5.2461mm
    NetR2_N16_1, Signal Layers Only, 5.2461mm
    NetR2_N1_1, Signal Layers Only, 5.2461mm
    NetR2_N2_1, Signal Layers Only, 5.2461mm
    NetR2_N3_1, Signal Layers Only, 5.2461mm
    NetR2_N4_1, Signal Layers Only, 5.2461mm
    NetR2_N5_1, Signal Layers Only, 5.2461mm
    NetR2_N6_1, Signal Layers Only, 5.2461mm
